,LOAN,VALUE,DELINQ,CLAGE,DEBTINC,MISSING_DEBTINC,BAD
0,1100,39025.0,0.0,94.366666667,33.77991534872112,True,1
1,1300,68400.0,2.0,121.83333333,33.77991534872112,True,1
2,1500,16700.0,0.0,149.46666667,33.77991534872112,True,1
3,1500,101776.04874145007,0.0,179.76627518656605,33.77991534872112,True,1
4,1700,112000.0,0.0,93.333333333,33.77991534872112,True,0
5,1700,40320.0,0.0,101.46600191,37.113613558000004,False,1
6,1800,57037.0,2.0,77.1,33.77991534872112,True,1
7,1800,43034.0,0.0,88.766029879,36.884894093,False,1
8,2000,46740.0,2.0,216.93333333,33.77991534872112,True,1
9,2000,62250.0,0.0,115.8,33.77991534872112,True,1
10,2000,101776.04874145007,0.0,179.76627518656605,33.77991534872112,True,1
11,2000,29800.0,1.0,122.53333333,33.77991534872112,True,1
12,2000,55000.0,0.0,86.066666667,33.77991534872112,True,1
13,2000,87400.0,0.0,147.13333333,33.77991534872112,True,0
14,2100,83850.0,1.0,123.0,33.77991534872112,True,1
15,2200,34687.0,1.0,300.86666667,33.77991534872112,True,1
16,2200,102600.0,6.0,122.9,33.77991534872112,True,1
17,2200,101776.04874145007,0.0,179.76627518656605,3.7113122995,False,1
18,2300,40150.0,0.0,54.6,33.77991534872112,True,1
19,2300,120953.0,0.0,90.992533467,31.588503178000003,False,0
20,2300,46200.0,1.0,122.26666667,33.77991534872112,True,1
21,2400,73395.0,0.0,179.76627518656605,33.77991534872112,True,1
22,2400,40800.0,0.0,67.2,33.77991534872112,True,1
23,2400,101776.04874145007,2.0,121.73333333,33.77991534872112,True,1
24,2400,17180.0,0.0,14.566666667,33.77991534872112,True,1
25,2400,47471.0,0.0,70.491080032,38.263600731,False,1
26,2400,117195.0,0.0,93.811774855,29.681827045,False,0
27,2500,20200.0,0.0,136.06666667,33.77991534872112,True,1
28,2500,36350.0,2.0,276.96666667,33.77991534872112,True,1
29,2500,44516.0,0.0,208.0,33.77991534872112,True,0
30,2500,78600.0,0.0,255.73333333,33.77991534872112,True,0
31,2800,63100.0,15.0,145.63333333,33.77991534872112,True,1
32,2800,60850.0,0.0,112.63333333,33.77991534872112,True,1
33,2900,113000.0,0.0,165.33333333,33.77991534872112,True,1
34,2900,112505.0,0.0,96.10232967,30.051136286,False,0
35,2900,120702.0,0.0,101.54029753,29.915859028000003,False,0
36,2900,67996.0,0.0,122.20466276,36.211347998,False,1
37,2900,70915.0,0.0,282.80165924,49.20639579,False,1
38,3000,121729.0,0.0,85.884371895,32.059783267,False,0
39,3000,20300.0,0.0,50.8,33.77991534872112,True,1
40,3000,8800.0,1.0,77.766666667,33.77991534872112,True,1
41,3000,33000.0,1.0,23.3,33.77991534872112,True,1
42,3000,193500.0,0.0,130.03335846,33.77991534872112,True,1
43,3000,29750.0,0.0,187.06666667,33.77991534872112,True,1
44,3000,14500.0,0.0,9.3,33.77991534872112,True,1
45,3000,14100.0,0.0,104.2,33.77991534872112,True,1
46,3000,82700.0,1.0,262.16666667,33.77991534872112,True,1
47,3000,45900.0,2.0,62.366666667,33.77991534872112,True,1
48,3000,71500.0,2.0,211.93333333,33.77991534872112,True,0
49,3000,56400.0,0.0,201.86666667,33.77991534872112,True,0
50,3100,36100.0,0.0,153.16666667,33.77991534872112,True,1
51,3100,70400.0,0.0,179.76627518656605,33.77991534872112,True,0
52,3200,74566.0,1.0,206.42660206,40.115677278,False,0
53,3200,61000.0,4.0,122.03333333,33.77991534872112,True,1
54,3200,40834.0,0.0,298.13156403,35.553538789,False,1
55,3200,64850.0,0.0,121.86666667,33.77991534872112,True,1
56,3200,87266.0,0.0,250.63126922,42.909997351,False,0
57,3200,101776.04874145007,2.0,117.80574784,0.5244992154,False,1
58,3300,134527.0,0.0,139.0,33.77991534872112,True,1
59,3300,164317.0,6.0,192.28914897,35.73055919,False,1
60,3400,52000.0,1.0,183.29991561,33.77991534872112,True,1
61,3500,38666.0,0.0,162.36666667,33.77991534872112,True,1
62,3500,20494.0,0.0,95.933333333,33.77991534872112,True,1
63,3600,61800.0,0.0,179.76627518656605,33.77991534872112,True,1
64,3600,52490.0,0.0,72.033333333,33.77991534872112,True,1
65,3600,111800.0,0.0,192.73333333,33.77991534872112,True,0
66,3600,76484.0,2.0,202.51077515,41.516389699,False,0
67,3600,114743.0,0.0,88.470452135,29.393543381999997,False,0
68,3600,61000.0,4.0,97.4,33.77991534872112,True,1
69,3600,63989.0,0.0,204.27249884,20.470915508,False,0
70,3700,21144.0,0.0,129.71732313,26.634347518000002,False,1
71,3800,97692.0,6.0,252.63333333,33.77991534872112,True,1
72,3800,63459.0,0.0,203.75153358,20.067042050999998,False,0
73,3800,73189.0,0.0,179.76627518656605,22.253949155999997,False,0
74,3800,46045.0,0.0,204.64799167,42.173165882,False,0
75,3900,45960.0,0.0,146.12324219,24.478881191,False,1
76,3900,22092.0,1.0,150.3,33.77991534872112,True,1
77,3900,63000.0,4.0,171.66666667,33.77991534872112,True,0
78,3900,118742.0,0.0,85.27736557899999,29.343921089000002,False,0
79,3900,39000.0,1.0,86.566666667,33.77991534872112,True,1
80,4000,112774.0,0.0,94.72487416700001,29.390928055,False,0
81,4000,61777.0,0.0,205.58668003,21.806563464,False,0
82,4000,80609.0,2.0,126.53333333,33.77991534872112,True,1
83,4000,31960.0,0.0,117.79510387,41.286491948000005,False,1
84,4000,52012.0,1.0,85.333333333,33.77991534872112,True,1
85,4000,37200.0,0.0,92.133333333,33.77991534872112,True,1
86,4000,76725.0,3.0,136.13333333,33.77991534872112,True,1
87,4000,69440.0,1.0,168.66666667,33.77991534872112,True,1
88,4000,18000.0,0.0,12.2,33.77991534872112,True,1
89,4000,58350.0,0.0,162.0,33.77991534872112,True,1
90,4000,16020.0,1.0,85.8,33.77991534872112,True,1
91,4000,79050.0,0.0,279.0,33.77991534872112,True,0
92,4000,45760.0,0.0,179.76627518656605,33.77991534872112,True,0
93,4000,78000.0,0.0,109.56666667,33.77991534872112,True,0
94,4000,63990.0,0.0,160.3,33.77991534872112,True,0
95,4000,93000.0,3.0,186.63333333,33.77991534872112,True,1
96,4000,59000.0,0.0,146.1,33.77991534872112,True,1
97,4000,80698.0,1.0,212.34930388,39.128717628000004,False,0
98,4000,71865.0,2.0,227.79298841,39.166328703000005,False,0
99,4100,19132.0,0.0,100.77465221,33.840919904,False,1
100,4100,65000.0,2.0,63.933333333,33.77991534872112,True,1
101,4100,63797.0,4.0,165.50503695,22.27817437,False,0
102,4200,59218.0,0.0,211.00259912,19.027704425,False,0
103,4200,50225.0,0.0,93.5,33.77991534872112,True,1
104,4200,77000.0,0.0,128.83333333,33.77991534872112,True,0
105,4200,55085.0,1.0,75.43333333300001,33.77991534872112,True,0
106,4200,82953.0,0.0,110.27866259,43.45058791100001,False,0
107,4200,58541.0,0.0,209.87130224,20.20803267,False,0
108,4300,78698.0,0.0,129.93286902,34.181376516,False,0
109,4300,79852.0,0.0,105.12070881,41.806376152,False,0
110,4300,80027.0,0.0,263.97030029,36.432093937,False,0
111,4400,63869.0,3.0,162.39001067,23.581079239,False,0
112,4400,60250.0,0.0,179.76627518656605,33.77991534872112,True,0
113,4400,64074.0,3.0,89.86105825,39.158084834,False,1
114,4500,79087.0,0.0,81.349065098,40.70530876,False,0
115,4500,77182.0,0.0,179.76627518656605,25.227252904,False,0
116,4500,66000.0,0.0,170.36666667,33.77991534872112,True,1
117,4500,79247.0,0.0,118.76041007,41.421110520999996,False,0
118,4500,49044.0,0.0,179.76627518656605,11.652738796,False,0
119,4500,101776.04874145007,0.0,222.6,33.77991534872112,True,1
120,4500,46000.0,1.0,122.6,33.77991534872112,True,1
121,4500,87000.0,4.0,125.8,33.77991534872112,True,1
122,4500,50000.0,0.0,86.166666667,33.77991534872112,True,0
123,4500,146870.0,0.0,203.86666667,33.77991534872112,True,1
124,4500,105800.0,3.0,80.1,33.77991534872112,True,1
125,4700,97205.0,0.0,142.82439151,35.226997192,False,0
126,4700,88566.0,0.0,283.95953809,36.475473283,False,0
127,4700,59511.0,0.0,54.13647743,34.416507811,False,0
128,4700,58238.0,0.0,61.8,33.77991534872112,True,1
129,4700,115506.0,0.0,182.24833156,29.20902258,False,0
130,4700,45000.0,2.0,90.46666666700001,33.77991534872112,True,1
131,4800,97191.0,0.0,137.31972481,34.275293776999995,False,0
132,4800,63102.0,3.0,160.14631128,21.583760120999997,False,0
133,4800,88342.0,0.0,275.03239483,43.717635111999996,False,0
134,4900,63348.0,3.0,179.16257471,22.544392836999997,False,0
135,4900,90408.0,0.0,141.85899895,37.76961861,False,0
136,4900,23031.0,0.0,101.74676644,33.243156978,False,1
137,4900,84630.0,0.0,112.57341888,41.673996362,False,0
138,4900,59745.0,0.0,81.5,33.77991534872112,True,1
139,4900,28437.5,0.0,179.76627518656605,33.77991534872112,True,0
140,4900,245300.0,0.0,131.93333333,33.77991534872112,True,0
141,4900,65774.0,2.0,61.64250608,40.590910018,False,1
142,4900,68494.0,4.0,183.63561323,22.795423552,False,0
143,4900,69706.0,0.0,179.76627518656605,33.705587738,False,0
144,5000,34846.0,0.0,179.76627518656605,33.354652626,False,0
145,5000,61690.0,0.0,65.03296900699999,36.699414921999995,False,0
146,5000,87168.0,0.0,122.59722258,40.616779346,False,0
147,5000,53448.0,0.0,207.14348133,44.107951691000004,False,0
148,5000,113714.0,0.0,193.63644686,25.897316481999997,False,0
149,5000,34900.0,0.0,65.7,33.77991534872112,True,1
150,5000,70500.0,0.0,61.766666666999996,33.77991534872112,True,1
151,5000,102700.0,1.0,58.866666667,33.77991534872112,True,1
152,5000,47350.0,0.0,179.76627518656605,33.77991534872112,True,1
153,5000,126500.0,0.0,100.3,33.77991534872112,True,1
154,5000,129693.5,0.0,179.76627518656605,33.77991534872112,True,1
