,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,alcohol,quality
0,0.27,20.7,0.045,170.0,1.001,8.8,6
1,0.3,1.6,0.049,132.0,0.9940000000000001,9.5,6
2,0.28,6.9,0.05,97.0,0.9951,10.1,6
3,0.23,8.5,0.057999999999999996,186.0,0.9956,9.9,6
4,0.23,8.5,0.057999999999999996,186.0,0.9956,9.9,6
5,0.28,6.9,0.05,97.0,0.9951,10.1,6
6,0.32,7.0,0.045,136.0,0.9949,9.6,6
7,0.27,20.7,0.045,170.0,1.001,8.8,6
8,0.3,1.6,0.049,132.0,0.9940000000000001,9.5,6
9,0.22,1.5,0.044000000000000004,129.0,0.9938,11.0,6
10,0.27,1.45,0.033,63.0,0.9908,12.0,5
11,0.23,4.2,0.035,109.0,0.9947,9.7,5
12,0.18,1.2,0.04,75.0,0.992,10.8,5
13,0.16,1.5,0.044000000000000004,143.0,0.9912,12.4,7
14,0.42,19.25,0.04,172.0,1.0002,9.7,5
15,0.17,1.5,0.032,112.0,0.9914,11.4,7
16,0.48,1.1,0.046,99.0,0.9928,9.6,6
17,0.66,1.2,0.028999999999999998,75.0,0.9892,12.8,8
18,0.34,1.1,0.033,171.0,0.9917,11.3,6
19,0.31,7.5,0.044000000000000004,133.0,0.9955,9.5,5
20,0.66,1.2,0.028999999999999998,75.0,0.9892,12.8,8
21,0.31,2.9,0.038,102.0,0.9912,11.0,7
22,0.26,1.7,0.049,122.0,0.993,10.5,8
23,0.67,1.5,0.07400000000000001,168.0,0.9937,9.3,5
24,0.27,1.3,0.052000000000000005,142.0,0.9951,10.0,6
25,0.25,9.0,0.046,245.0,0.9955,10.4,6
26,0.24,1.0,0.052000000000000005,146.0,0.993,10.0,6
27,0.28,8.7,0.051,141.0,0.9961,10.5,6
28,0.27,1.1,0.047,132.0,0.9914,11.6,6
29,0.32,2.0,0.033,114.0,0.9906,12.3,7
30,0.24,10.4,0.044000000000000004,142.0,0.9974,10.0,6
31,0.14,1.1,0.042,47.0,0.9934,10.2,6
32,0.25,2.05,0.05,100.0,0.992,10.8,6
33,0.12,1.5,0.045,117.0,0.9939,9.0,6
34,0.27,14.95,0.044000000000000004,179.0,0.9962,10.2,5
35,0.28,1.7,0.08,123.0,0.9905,12.8,5
36,0.39,5.4,0.051,149.0,0.9934,10.0,5
37,0.33,1.2,0.053,138.0,0.9906,11.2,6
38,0.24,17.95,0.057,149.0,0.9999,8.6,5
39,0.24,17.95,0.057,149.0,0.9999,8.6,5
40,0.23,2.5,0.172,158.0,0.9937,9.4,6
41,0.24,2.9,0.17300000000000001,157.0,0.9937,9.4,6
42,0.31,7.4,0.069,160.0,0.9954,9.8,6
43,0.24,1.4,0.057,152.0,0.9934,9.5,6
44,0.23,1.4,0.06,154.0,0.9934,9.5,6
45,0.18,1.4,0.057999999999999996,167.0,0.9931,10.0,7
46,0.45,4.4,0.063,206.0,0.9940000000000001,9.8,4
47,0.46,4.4,0.066,207.0,0.9939,9.8,5
48,0.31,7.4,0.069,160.0,0.9954,9.8,6
49,0.19,5.0,0.067,150.0,0.995,9.8,5
50,0.19,1.6,0.062,173.0,0.9917,11.7,6
51,0.25,1.1,0.068,124.0,0.9914,11.0,7
52,0.16,1.1,0.057,82.0,0.991,10.9,7
53,0.18,1.0,0.045,108.0,0.9911,10.9,6
54,0.2,0.9,0.147,132.0,0.993,9.1,6
55,0.25,1.3,0.039,191.0,0.9908,11.0,6
56,0.21,11.9,0.043,213.0,0.9962,9.6,6
57,0.19,12.4,0.048,147.0,0.9972,8.9,6
58,0.38,4.6,0.044000000000000004,78.0,0.9931,10.2,6
59,0.2,1.2,0.038,111.0,0.9926,9.9,6
60,0.22,4.9,0.092,123.0,0.9951,8.6,6
61,0.19,12.4,0.048,147.0,0.9972,8.9,6
62,0.47,1.1,0.035,151.0,0.991,10.5,5
63,0.38,4.6,0.044000000000000004,78.0,0.9931,10.2,6
64,0.24,1.4,0.038,122.0,0.9927,10.3,6
65,0.35,1.2,0.064,120.0,0.9934,9.1,5
66,0.26,6.4,0.04,124.0,0.9903,12.6,7
67,0.25,1.2,0.040999999999999995,174.0,0.992,9.8,5
68,0.23,2.1,0.046,96.0,0.9926,10.7,8
69,0.24,10.1,0.05,105.0,0.9962,9.5,5
70,0.27,7.8,0.055999999999999994,244.0,0.9956,9.0,6
71,0.3,4.6,0.061,238.5,0.9958,9.5,5
72,0.27,4.8,0.063,201.0,0.9964,10.0,5
73,0.23,1.0,0.054000000000000006,72.0,0.9941,9.1,6
74,0.23,2.1,0.046,96.0,0.9926,10.7,8
75,0.24,10.1,0.05,105.0,0.9962,9.5,5
76,0.18,1.4,0.043,87.0,0.9898,12.7,7
77,0.32,1.3,0.042,69.0,0.9912,12.0,7
78,0.18,8.8,0.064,103.0,0.9961,9.3,5
79,0.54,5.4,0.06,105.0,0.9949,9.0,5
80,0.22,1.4,0.053,114.0,0.9929,10.6,6
81,0.2,16.0,0.05,166.0,0.9985,9.2,6
82,0.34,6.1,0.063,164.0,0.9946,10.0,5
83,0.22,8.2,0.047,207.0,0.9966,9.5,6
84,0.43,11.8,0.045,155.0,0.9974,8.7,5
85,0.44,11.8,0.044000000000000004,152.0,0.9975,8.7,6
86,0.39,11.0,0.044000000000000004,156.0,0.9974,8.7,6
87,0.25,13.3,0.05,202.0,0.9972,9.7,6
88,0.43,11.8,0.045,155.0,0.9974,8.7,5
89,0.44,11.8,0.044000000000000004,152.0,0.9975,8.7,6
90,0.39,11.0,0.044000000000000004,156.0,0.9974,8.7,6
91,0.27,7.5,0.049,243.0,0.9957,9.0,5
92,0.24,1.7,0.035,136.0,0.99,12.6,7
93,0.21,1.8,0.034,136.0,0.9899,12.6,7
94,0.17,1.7,0.04,148.0,0.9916,11.5,7
95,0.26,12.4,0.044000000000000004,240.0,0.9969,9.2,6
96,0.34,15.9,0.046,164.0,0.9979,8.8,6
97,0.265,1.2,0.034,80.0,0.9913,11.4,7
98,0.36,10.5,0.038,83.0,0.9956,10.1,4
99,0.34,15.9,0.046,164.0,0.9979,8.8,6
100,0.25,13.5,0.06,192.0,0.9975,9.1,5
101,0.12,9.6,0.054000000000000006,162.0,0.9962,9.4,5
102,0.21,12.1,0.05,164.0,0.997,9.4,5
103,0.305,18.9,0.059000000000000004,170.0,1.0,9.0,5
104,0.25,13.5,0.06,192.0,0.9975,9.1,5
105,0.13,14.4,0.051,109.0,0.9974,9.2,6
106,0.12,9.6,0.054000000000000006,162.0,0.9962,9.4,5
107,0.23,16.5,0.04,171.0,0.9990000000000001,9.1,6
108,0.23,16.5,0.04,171.0,0.9990000000000001,9.1,6
109,0.33,1.3,0.051,187.0,0.9927,10.3,5
110,0.17,8.5,0.08199999999999999,163.0,0.9959,8.8,6
111,0.27,18.75,0.052000000000000005,255.0,1.0,8.9,5
112,0.31,13.3,0.055999999999999994,195.0,0.9982,9.2,5
113,0.41,9.2,0.049,150.0,0.9968,9.1,5
114,0.41,9.2,0.049,150.0,0.9968,9.1,5
115,0.485,1.5,0.065,103.0,0.9940000000000001,9.7,4
116,0.31,3.3,0.040999999999999995,143.0,0.9914,11.3,6
117,0.14,1.7,0.035,85.0,0.9911,11.8,6
118,0.31,13.3,0.055999999999999994,195.0,0.9982,9.2,5
119,0.32,13.3,0.06,196.0,0.9982,9.2,5
120,0.36,5.7,0.046,87.0,0.9934,10.2,5
121,0.24,12.2,0.054000000000000006,138.0,0.9984,8.8,5
122,0.16,6.85,0.059000000000000004,131.0,0.9952,9.7,5
123,0.19,5.0,0.057999999999999996,146.0,0.9952,9.1,6
124,0.13,1.6,0.092,158.0,0.9928,9.8,6
125,0.19,1.1,0.026000000000000002,143.0,0.9912,11.0,6
126,0.39,7.0,0.033,126.0,0.9940000000000001,10.5,5
127,0.24,7.6,0.038,203.0,0.9958,9.7,7
128,0.3,2.8,0.044000000000000004,179.0,0.9924,10.9,7
129,0.3,2.7,0.046,184.0,0.9924,10.9,6
130,0.26,10.4,0.02,57.0,0.9940000000000001,10.6,5
131,0.24,7.6,0.038,203.0,0.9958,9.7,7
132,0.425,13.1,0.038,241.0,0.9979,9.0,5
133,0.24,15.8,0.035,188.0,0.9982,9.2,5
134,0.27,8.1,0.034,203.0,0.9961,8.9,5
135,0.27,15.7,0.036000000000000004,179.0,0.9979,9.6,5
136,0.23,1.2,0.027000000000000003,121.0,0.992,10.7,6
137,0.37,10.5,0.045,155.0,0.9975,8.7,5
138,0.19,1.9,0.035,96.0,0.9917,10.8,7
139,0.28,1.9,0.028999999999999998,79.0,0.9923,11.8,6
140,0.31,2.2,0.045,77.0,0.9927,10.2,5
141,0.37,10.5,0.045,155.0,0.9975,8.7,5
142,0.21,1.2,0.039,107.0,0.992,10.8,6
143,0.21,4.3,0.036000000000000004,99.0,0.9947,9.7,6
144,0.2,2.0,0.037000000000000005,87.0,0.9921,11.2,6
145,0.255,1.1,0.04,114.0,0.9905,10.9,6
146,0.16,1.4,0.044000000000000004,168.0,0.9918,10.1,6
147,0.595,5.2,0.057999999999999996,97.0,0.9951,9.0,4
148,0.34,4.6,0.034,80.0,0.9917,12.0,7
149,0.25,4.1,0.054000000000000006,116.0,0.9940000000000001,9.4,6
150,0.22,8.0,0.043,152.0,0.9934,11.5,7
151,0.18,10.2,0.055,135.0,0.9968,9.9,6
152,0.25,4.1,0.054000000000000006,116.0,0.9940000000000001,9.4,6
153,0.18,1.2,0.048,97.0,0.9919,10.4,5
154,0.23,7.5,0.049,76.0,0.9966,9.7,6
155,0.24,14.0,0.066,198.0,0.9979,8.9,6
156,0.24,14.0,0.066,198.0,0.9979,8.9,6
157,0.32,1.5,0.036000000000000004,124.0,0.9898,12.4,7
158,0.44,1.4,0.036000000000000004,119.0,0.9894,12.1,8
159,0.44,1.4,0.036000000000000004,119.0,0.9894,12.1,8
160,0.32,1.5,0.036000000000000004,124.0,0.9898,12.4,7
161,0.22,14.5,0.055,159.0,0.998,9.1,5
162,0.36,4.8,0.049,85.0,0.9932,10.6,5
163,0.24,14.0,0.066,198.0,0.9979,8.9,6
164,0.24,13.1,0.05,205.0,0.997,9.5,5
165,0.23,13.0,0.051,177.0,0.9972,9.8,5
166,0.27,8.7,0.048,197.0,0.9974,9.6,6
167,0.46,2.4,0.034,98.0,0.9896,12.6,7
168,0.29,8.95,0.055,151.0,0.9968,9.3,5
169,0.42,9.85,0.034,110.0,0.9958,10.0,5
170,0.3,1.5,0.066,133.0,0.9906,12.7,6
171,0.19,1.5,0.045,96.0,0.9917,11.0,6
172,0.48,0.8,0.037000000000000005,100.0,0.9902,11.4,4
173,0.22,4.55,0.038,130.0,0.9918,11.5,7
174,0.27,17.7,0.051,173.0,0.9990000000000001,10.2,5
175,0.23,7.5,0.04,151.0,0.9927,11.4,6
176,0.32,5.1,0.044000000000000004,65.0,0.991,12.6,4
177,0.23,12.9,0.054000000000000006,170.0,0.9972,9.4,5
178,0.67,1.2,0.06,108.0,0.9931,8.7,4
179,0.25,5.5,0.049,176.0,0.995,9.2,6
180,0.33,5.5,0.048,173.0,0.9951,9.3,6
181,0.34,1.2,0.053,183.0,0.9936,9.2,5
182,0.28,22.0,0.048,167.0,1.001,8.7,5
183,0.27,14.0,0.05,227.0,0.9979,9.6,6
184,0.26,11.9,0.043,226.0,0.997,9.3,5
185,0.29,11.9,0.043,230.0,0.9972,9.3,5
186,0.24,9.4,0.04,166.0,0.9954,9.9,6
187,0.3,4.2,0.038,119.0,0.9924,11.0,5
188,0.53,3.8,0.034,109.0,0.9906,12.7,8
189,0.28,8.5,0.047,210.0,0.9962,8.9,4
190,0.28,8.5,0.052000000000000005,211.0,0.9962,8.9,6
191,0.28,22.0,0.048,167.0,1.001,8.7,5
192,0.28,8.0,0.045,123.0,0.9928,11.4,6
193,0.15,5.1,0.055,125.0,0.9942,9.6,5
